# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
2.400000000000000E+009	-5.641450983744964E+000	-1.011847435451863E+001	-1.621596393812255E+001	
2.412000000000000E+009	-5.333520883348778E+000	-9.767447945243035E+000	-1.635203958361203E+001	
2.424000000000000E+009	-5.022953747434342E+000	-9.382208662847063E+000	-1.662245534393115E+001	
2.436000000000000E+009	-4.790438914520965E+000	-8.874655731978502E+000	-1.679629045810424E+001	
2.448000000000000E+009	-4.568070198862111E+000	-8.429827714613342E+000	-1.695528853155422E+001	
2.460000000000000E+009	-4.347261005950991E+000	-7.967670795153402E+000	-1.709044962673139E+001	
2.472000000000000E+009	-4.105367797018488E+000	-7.639732638017311E+000	-1.739390556160844E+001	
2.484000000000000E+009	-3.892179840071674E+000	-7.169883165688232E+000	-1.795158481434969E+001	
2.496000000000000E+009	-3.651434770652024E+000	-6.690901407168410E+000	-1.830676155775273E+001	
2.508000000000000E+009	-3.404800013771482E+000	-6.217415779703115E+000	-1.868881766010486E+001	
2.520000000000000E+009	-3.129779707946371E+000	-5.783187048308579E+000	-1.925102431998124E+001	
2.532000000000000E+009	-2.859734866560764E+000	-5.398065399421857E+000	-1.974425447677028E+001	
2.544000000000000E+009	-2.600383826664059E+000	-4.985502041498896E+000	-2.043705133153859E+001	
2.556000000000000E+009	-2.371850645059340E+000	-4.551860362652713E+000	-2.142665535560679E+001	
2.568000000000000E+009	-2.126658180338004E+000	-4.091405801525371E+000	-2.278830395769326E+001	
2.580000000000000E+009	-1.892120763752776E+000	-3.642385058274358E+000	-2.453776048468231E+001	
2.592000000000000E+009	-1.658920392104383E+000	-3.190743239565530E+000	-2.696235202965696E+001	
2.604000000000000E+009	-1.443205067518157E+000	-2.743412871694449E+000	-3.102190283548784E+001	
2.616000000000000E+009	-1.581046433938316E+000	-2.324728358845960E+000	-3.650442935586401E+001	
2.628000000000000E+009	-3.379839254836734E+000	-2.001411496127674E+000	-3.327005551316039E+001	
2.640000000000000E+009	-1.164097170117637E+001	-1.829223737436049E+000	-3.466673679894284E+001	
2.652000000000000E+009	-1.221622852175890E+001	-1.873956904984221E+000	-3.177398369589761E+001	
2.664000000000000E+009	-6.809104871233306E+000	-2.332439700847900E+000	-2.401870335516628E+001	
2.676000000000000E+009	-4.838029540061870E+000	-3.589187408024836E+000	-2.010976352685554E+001	
2.688000000000000E+009	-3.895749923901235E+000	-6.193642434624262E+000	-1.798378190137115E+001	
2.700000000000000E+009	-3.372451862806873E+000	-1.099034446264891E+001	-1.702167156064466E+001	
2.712000000000000E+009	-3.072464390733726E+000	-2.082176672044998E+001	-1.708796958159826E+001	
2.724000000000000E+009	-2.868351590528196E+000	-1.856512985582401E+001	-1.772795391978475E+001	
2.736000000000000E+009	-2.657211093384497E+000	-1.238416361609830E+001	-1.855742254244143E+001	
2.748000000000000E+009	-2.504110305846201E+000	-9.547889530734912E+000	-1.912711935446405E+001	
2.760000000000000E+009	-2.376651144826626E+000	-7.889691501789764E+000	-1.984597934974114E+001	
2.772000000000000E+009	-2.278993444666424E+000	-6.880580652442645E+000	-2.050411315550268E+001	
2.784000000000000E+009	-2.181509697144342E+000	-6.109778073006556E+000	-2.110675039417329E+001	
2.796000000000000E+009	-2.091784085551109E+000	-5.486047836038887E+000	-2.167521870899074E+001	
2.808000000000000E+009	-2.024937709240405E+000	-4.967421273766401E+000	-2.223950085005611E+001	
2.820000000000000E+009	-1.958637421088957E+000	-4.585075175978679E+000	-2.298418135368001E+001	
2.832000000000000E+009	-1.881259337265140E+000	-4.257845794971077E+000	-2.359881816224526E+001	
2.844000000000000E+009	-1.794095008599351E+000	-3.967025664590023E+000	-2.396260246774845E+001	
2.856000000000000E+009	-1.706876167787317E+000	-3.724623352646223E+000	-2.444047284678130E+001	
2.868000000000000E+009	-1.648866809593228E+000	-3.534316141673887E+000	-2.496460220231664E+001	
2.880000000000000E+009	-1.585417525098293E+000	-3.342857383244144E+000	-2.552582676055657E+001	
2.892000000000000E+009	-1.525442522548476E+000	-3.180405416600369E+000	-2.613035060848349E+001	
2.904000000000000E+009	-1.458974266683982E+000	-3.010650609486433E+000	-2.663870788304199E+001	
2.916000000000000E+009	-1.407456941121672E+000	-2.864927648247887E+000	-2.715574516200981E+001	
2.928000000000000E+009	-1.369113345982405E+000	-2.724938370451052E+000	-2.768677507332750E+001	
2.940000000000000E+009	-1.334241061819360E+000	-2.581700578782545E+000	-2.819574215219111E+001	
2.952000000000000E+009	-1.280213137153133E+000	-2.482308146209426E+000	-2.870870320590417E+001	
2.964000000000000E+009	-1.255302728993795E+000	-2.396345976951025E+000	-2.913288993469241E+001	
2.976000000000000E+009	-1.257439008178857E+000	-2.316310323156789E+000	-2.958081125842247E+001	
2.988000000000000E+009	-1.269185080124677E+000	-2.253689528529567E+000	-2.996846564501603E+001	
3.000000000000000E+009	-1.269601004269196E+000	-2.179826442300041E+000	-3.038214808780796E+001	
